channel,longitude,latitude,elevation
620,18.061423,42.660632,33.35916
621,18.061363,42.660679,33.35916
622,18.061291,42.660718,32.691498
623,18.061218,42.660757,32.78926
624,18.061145,42.660796,32.78926
625,18.061073,42.660835,32.78926
626,18.061,42.660874,32.78926
627,18.060927,42.660913,30.15146
628,18.060855,42.660952,30.15146
629,18.060782,42.660991,31.64276
630,18.060709,42.66103,31.64276
631,18.060637,42.661069,29.221344
632,18.060564,42.661108,29.221344
633,18.060491,42.661147,29.221344
634,18.060419,42.661186,29.221344
635,18.060346,42.661225,28.092724
636,18.060273,42.661264,29.178658
637,18.060199,42.661301,29.178658
638,18.060118,42.66133,29.608156
639,18.060036,42.661356,29.608156
640,18.059948,42.66137,29.608156
641,18.059859,42.661374,28.618303
642,18.059771,42.661386,28.618303
643,18.059684,42.661403,28.618303
644,18.059597,42.661417,28.618303
645,18.059509,42.661432,26.598991
646,18.059421,42.661446,26.598991
647,18.059333,42.66146,26.598991
648,18.059246,42.661476,25.595728
649,18.059159,42.661492,25.595728
650,18.059073,42.661511,25.595728
651,18.058989,42.661534,25.2486
652,18.058904,42.661557,25.2486
653,18.058818,42.661576,25.2486
654,18.058733,42.661595,21.382206
655,18.058647,42.661616,21.382206
656,18.058561,42.661636,21.382206
657,18.058479,42.661661,21.382206
658,18.058396,42.661687,16.589748
659,18.058315,42.661715,16.589748
660,18.058237,42.661748,16.589748
661,18.058158,42.661781,9.206459
662,18.058084,42.661817,4.3763523
663,18.058013,42.661858,4.3763523
664,18.057942,42.661899,4.3763523
665,18.057878,42.661946,0.49262214
666,18.057814,42.661992,0.49262214
667,18.057749,42.662037,0.49262214
668,18.05768,42.66208,0.49262214
669,18.057612,42.662123,0.0
670,18.057544,42.662166,0.0
671,18.057475,42.662209,0.0
672,18.057403,42.662249,0.0
673,18.057333,42.66229,0.0
674,18.057258,42.662326,0.0
675,18.057182,42.662361,0.0
676,18.057103,42.662393,0.0
677,18.057025,42.662427,0.0
678,18.056949,42.662461,0.0
679,18.056877,42.662501,0.0
680,18.056809,42.662545,0.0
681,18.056744,42.66259,0.0
682,18.056685,42.66264,0.0
683,18.056631,42.662693,0.0
684,18.056578,42.662747,0.0
685,18.056524,42.6628,0.0
686,18.056472,42.662854,0.0
687,18.056411,42.662902,0.0
688,18.056344,42.662946,0.0
689,18.056276,42.662989,0.0
690,18.056204,42.66303,0.0
691,18.056133,42.66307,0.0
692,18.056067,42.663114,0.0
693,18.055996,42.663156,0.0
694,18.055928,42.663199,0.0
695,18.055856,42.663238,0.0
696,18.055785,42.663279,0.0
697,18.055716,42.663321,0.0
698,18.055673,42.663376,0.0
699,18.05562,42.663428,0.0
700,18.055545,42.663464,0.0
701,18.05547,42.6635,0.0
702,18.055398,42.663539,0.0
703,18.055325,42.663579,0.0
704,18.055238,42.663583,0.0
705,18.055166,42.663623,0.0
706,18.055095,42.663662,0.0
707,18.055063,42.663723,0.0
708,18.054993,42.663764,0.0
709,18.054915,42.663797,0.0
710,18.054842,42.663836,0.0
711,18.054769,42.663874,0.0
712,18.054693,42.66391,0.0
713,18.054621,42.663949,0.0
714,18.054544,42.663984,0.0
715,18.054469,42.664019,0.0
716,18.054392,42.664054,0.0
717,18.054316,42.664089,0.0
718,18.05424,42.664125,0.0
719,18.054164,42.66416,0.0
720,18.054087,42.664194,0.0
721,18.054009,42.664227,0.0
722,18.053932,42.664261,0.0
723,18.053854,42.664295,0.0
724,18.053776,42.664327,0.0
725,18.053699,42.664361,0.0
726,18.053621,42.664394,0.0
727,18.053542,42.664426,0.0
728,18.053464,42.664459,0.0
729,18.053387,42.664492,0.0
730,18.053315,42.664532,0.0
731,18.053242,42.664571,0.0
732,18.053166,42.664606,0.0
733,18.05309,42.664641,0.0
734,18.053013,42.664675,0.0
735,18.052934,42.664706,0.0
736,18.052855,42.664739,0.0
737,18.052778,42.664772,0.0
738,18.052703,42.664808,0.0
739,18.05263,42.664848,0.0
740,18.052558,42.664887,0.0
741,18.052484,42.664924,0.0
742,18.052409,42.664961,0.0
743,18.052335,42.664998,0.0
744,18.052261,42.665036,0.0
745,18.052188,42.665074,0.0
746,18.052115,42.665113,0.0
747,18.052038,42.665147,0.0
748,18.051961,42.665182,0.0
749,18.051895,42.665226,0.0
750,18.051819,42.665261,0.0
